날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-04-25,12108.41,12060,12160,12055,12060,1979,23929305,1195.27
2025-04-28,11901.44,12060,12080,11820,11895,1615,19227492,1175.31
2025-04-29,12040.48,11935,12060,11935,11995,1574,18846805,1189.31
2025-04-30,11844.8,11970,12015,11735,11830,174,2054275,1169.69
2025-05-02,12000.02,11740,12025,11740,11950,383,4569050,1185.29
2025-05-07,11904.35,12025,12025,11775,11875,227,2682780,1175.67
2025-05-08,11990.55,11920,12005,11920,11980,272,3255555,1184.33
2025-05-09,11830.66,11975,11975,11755,11835,292,3443230,1168.33
2025-05-12,11848.04,11855,11855,11715,11850,124,1463605,1169.95
2025-05-13,12017.33,11945,12100,11945,11975,618,7419705,1187.28
2025-05-14,12068.38,11925,12060,11795,12050,743,8876840,1192.29
2025-05-15,11974.77,11975,12045,11930,11950,2708,32497239,1183.35
2025-05-16,11818.87,11910,11910,11735,11785,1243,14734660,1167.8
2025-05-19,11618.41,11675,11690,11480,11615,260,2996295,1147.49
2025-05-20,11584.03,11750,11775,11560,11570,784,9111395,1144.07
2025-05-21,11741.31,11650,11795,11650,11700,363,4242755,1159.77
2025-05-22,11694.12,11670,11690,11570,11685,47,545770,1155.08
2025-05-23,11675.81,11700,11700,11595,11655,35,407435,1153.29
2025-05-26,11859.51,11735,11915,11735,11815,893,10606265,1171.63
2025-05-27,11939.92,11870,11895,11795,11895,337,4006796,1179.67
2025-05-28,11973.89,11945,12050,11940,11950,851,10189130,1183.06
2025-05-29,12101.57,12095,12100,11995,12085,2331,28091150,1195.81
2025-05-30,12085.71,12010,12120,12010,12070,1519,18372278,1194.26
2025-06-02,12211.57,12070,12225,12070,12185,173,2104945,1206.87
2025-06-04,12304.26,12275,12370,12270,12275,1447,17850255,1216.17
2025-06-05,12378.04,12280,12505,12280,12355,578,7159850,1223.56
2025-06-09,12528.36,12410,12535,12370,12495,1351,16792442,1238.6
2025-06-10,12725.73,12605,12715,12495,12685,72,909750,1258.31
2025-06-11,13029.76,12790,13050,12790,12990,778,10099600,1288.67
2025-06-12,13098.44,13010,13170,13010,13030,1293,16872460,1295.58
2025-06-13,12671.56,13040,13040,12490,12625,3019,38092575,1253.2
2025-06-16,12761.96,12680,12745,12555,12710,2278,28795385,1262.19
2025-06-17,12712.1,12715,12870,12530,12655,1014,12908915,1257.25
2025-06-18,12732.27,12655,12775,12620,12655,668,8527652,1259.26
2025-06-19,12791.51,12755,12800,12600,12800,559,7093480,1265.15
2025-06-20,13022.96,12770,12960,12770,12950,1277,16501940,1288.22
2025-06-23,12835.34,12760,12790,12635,12790,711,9006425,1269.58
2025-06-24,13135.73,12985,13165,12985,13085,1840,24108850,1299.47
2025-06-25,13096.09,13120,13120,12980,13055,1240,16233455,1295.54
2025-06-26,12947.03,13085,13085,12740,12870,3844,49147505,1280.72
2025-06-27,12830.69,13260,13260,12730,12815,1038,13306935,1269.05
2025-06-30,12811.21,12880,12880,12730,12790,537,6873155,1267.13
2025-07-01,12826.35,12835,12860,12770,12770,877,11253375,1268.65
2025-07-02,12876.3,12830,12830,12620,12815,756,9614735,1273.61
2025-07-03,13125.0,12845,13100,12845,13070,974,12665080,1298.35
2025-07-04,12736.43,13090,13090,12675,12675,1911,24335996,1259.76
2025-07-07,12851.16,12885,12885,12620,12810,321,4073095,1271.16
2025-07-08,12935.85,12885,12885,12730,12870,220,2818150,1279.58
2025-07-09,13017.45,12870,12980,12840,12945,468,6031960,1287.71
2025-07-10,13216.17,13330,13330,13005,13145,3851,50267070,1307.46
2025-07-11,13257.54,13535,13535,12550,13060,5366,70833465,1311.62
2025-07-14,13253.74,13060,13230,13060,13190,818,10747785,1311.25
2025-07-15,13606.62,13585,13585,13230,13515,565,7550780,1346.34
2025-07-16,13615.87,13920,13920,13390,13540,7939,106788495,1347.27
2025-07-17,13838.84,13945,13945,13485,13755,4061,55381100,1369.47
2025-07-18,13955.59,14165,14165,13815,13885,3286,45581515,1381.13
2025-07-21,13937.04,14300,14300,13805,13865,537,7436820,1379.5
2025-07-22,13726.79,14280,14280,13605,13685,1078,14921590,1359.65
2025-07-23,13804.12,14095,14095,13520,13750,567,7726295,1367.34
2025-07-24,13778.27,14160,14160,13690,13735,631,8701080,1364.82
2025-07-25,13678.75,13890,13890,13595,13630,667,9099580,1354.99
2025-07-28,13685.64,13660,13660,13500,13630,2357,32018450,1355.58
2025-07-29,13670.09,13630,13650,13465,13600,2063,27925270,1354.05
2025-07-30,13632.56,13630,13710,13555,13555,380,5184205,1350.33
2025-07-31,13651.55,13640,13640,13445,13620,65157,883441235,1352.23
2025-08-01,13024.82,14030,14500,12975,12975,23728,314204755,1289.94
2025-08-04,13258.11,13130,13275,13000,13185,381,5007542,1313.14
2025-08-05,13558.61,13215,13550,13215,13475,1377,18557340,1343.04
2025-08-06,13642.52,13475,13570,13340,13565,231,3110680,1351.24
2025-08-07,13628.1,13595,13595,13490,13550,502,6779660,1349.82
2025-08-08,13685.0,13580,13665,13580,13580,368,5019950,1355.53
2025-08-11,13782.14,13645,13735,13525,13715,745,10159855,1365.2
2025-08-12,13707.9,13740,13855,13615,13630,940,12934800,1357.83
2025-08-13,13936.59,13690,13855,13665,13855,114,1562920,1380.57
2025-08-14,13977.14,14070,14070,13790,13895,331,4585645,1384.64
