날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-06-26,23332.71,23580,23845,22680,23345,365879,8468806577,4865.52
2025-06-27,23457.08,23545,24090,23240,23390,278281,6609012178,4891.32
2025-06-30,23037.98,23200,23500,23015,23065,162000,3770982083,4803.37
2025-07-01,23556.97,23485,23985,23375,23540,278178,6612484316,4912.08
2025-07-02,23045.05,23540,23675,22605,23060,785900,17933076261,4805.34
2025-07-03,22858.7,23115,23355,22750,22810,220129,5061463592,4766.17
2025-07-04,21908.78,22850,22985,21860,21885,335752,7438783323,4567.72
2025-07-07,22050.21,21470,22155,21415,22050,159634,3489162939,4597.56
2025-07-08,22643.37,22265,22660,22065,22650,103200,2312971705,4721.58
2025-07-09,23137.65,23110,23250,22635,23120,174158,4016892053,4825.15
2025-07-10,23615.03,23205,23650,23080,23510,171052,4010554372,4925.12
2025-07-11,23281.09,23600,23780,23185,23255,177326,4152353886,4855.1
2025-07-14,23108.55,23255,23485,22850,23105,213312,4919327222,4819.47
2025-07-15,23639.92,23105,23600,23015,23600,227027,5303839721,4930.39
2025-07-16,23570.19,23620,23785,23265,23520,222961,5247242225,4915.76
2025-07-17,23829.24,23530,23970,23290,23845,160051,3791204841,4969.63
2025-07-18,23756.82,23920,24000,23605,23780,147732,3510870667,4954.4
2025-07-21,24532.09,24030,24700,23855,24525,290091,7113590298,5116.93
2025-07-22,24604.37,24510,24755,24255,24570,194638,4776041284,5131.85
2025-07-23,24307.35,24650,24860,23990,24300,195248,4754968872,5069.65
2025-07-24,25001.35,24395,25090,24395,25000,508127,12662536052,5214.94
2025-07-25,25547.42,24950,25600,24740,25520,350847,8894337552,5329.05
2025-07-28,25890.17,25780,26000,25365,25870,352500,9068775969,5400.45
2025-07-29,26297.5,26010,26645,25560,26280,532098,13961718585,5485.79
2025-07-30,25558.93,26375,26420,25500,25560,604575,15628053387,5331.11
2025-07-31,26441.02,25800,26925,25800,26450,1723177,45706652384,5516.13
2025-08-01,26028.87,26690,26795,25140,25995,594810,15395455963,5429.45
2025-08-04,25693.34,25740,25930,24930,25670,367988,9380737865,5359.34
2025-08-05,26134.58,25860,26280,25740,26095,452397,11777608039,5451.7
2025-08-06,25796.86,25700,25845,25425,25780,405158,10401534632,5381.13
2025-08-07,25863.88,25850,26125,25770,25780,154607,4009677724,5395.31
2025-08-08,25450.37,25600,25750,25145,25385,356452,9076956687,5308.72
2025-08-11,24477.18,24975,25180,24430,24430,629465,15492323485,5105.59
2025-08-12,24017.24,24435,24780,23955,24040,154731,3777442632,5009.59
2025-08-13,24413.6,24400,24435,23640,24405,144456,3481437064,5093.09
2025-08-14,24720.05,24455,24810,24295,24740,133836,3286009476,5157.18
2025-08-18,24774.56,24740,24925,24505,24790,136705,3385989494,5168.34
2025-08-19,23966.23,24790,24910,23885,23930,109750,2665115809,4999.26
2025-08-20,23569.89,23290,23650,22750,23615,230284,5352129873,4916.7
2025-08-21,24347.15,23700,24440,23645,24390,199955,4841086214,5078.89
2025-08-22,24868.78,24635,25045,24510,24800,240279,5979550829,5188.46
2025-08-25,25145.99,25300,25300,24585,25040,257916,6432731365,5246.11
2025-08-26,24345.16,25395,25395,24200,24345,187167,4569617633,5079.06
2025-08-27,24604.65,24730,24815,24275,24580,174242,4260282747,5133.45
2025-08-28,24619.0,24485,24750,24125,24650,84254,2067905117,5135.91
2025-08-29,24902.76,24655,25030,24600,24890,159252,3962482328,5195.08
2025-09-01,25100.27,24890,25285,24850,25065,127223,3192093383,5237.04
2025-09-02,25852.51,25300,25895,25230,25815,297378,7635675446,5394.02
2025-09-03,25572.33,26075,26075,25500,25530,163319,4194748025,5335.75
2025-09-04,25671.25,25530,25865,25405,25635,140045,3592772333,5356.07
2025-09-05,25318.42,25420,25575,25105,25325,105302,2668348209,5282.36
2025-09-08,25373.15,25325,25475,25150,25395,65023,1646446160,5294.57
2025-09-09,25263.18,25420,25495,25180,25230,113992,2883349558,5271.1
2025-09-10,25814.73,25405,25795,25330,25745,112849,2891786453,5386.42
2025-09-11,26154.51,25790,26040,25790,26040,212461,5504788126,5457.87
2025-09-12,26193.92,26160,26265,25950,26155,206320,5381184594,5465.76
2025-09-15,26343.8,26170,26710,26095,26325,200374,5293564832,5497.2
2025-09-16,26898.98,26465,26880,26325,26835,209267,5584607947,5613.49
2025-09-17,26690.69,26870,26990,26585,26605,108996,2915570774,5569.83
2025-09-18,26657.3,26715,27040,26540,26585,125082,3339095214,5562.69
2025-09-19,26530.16,26355,26750,26355,26460,92865,2466038595,5535.91
2025-09-22,26223.64,26390,26600,26040,26200,183329,4800418929,5472.5
2025-09-23,26210.64,26015,26440,25980,26160,141533,3716698008,5469.82
2025-09-24,26483.72,26215,26625,26215,26445,169797,4488133485,5526.78
2025-09-25,26138.81,26445,26700,26030,26080,129189,3413906859,5454.71
2025-09-26,25563.91,26080,26225,25280,25540,90968,2327602610,5334.82
2025-09-29,25821.32,25540,25840,25540,25820,50975,1310270259,5388.37
2025-09-30,26459.66,25820,26550,25820,26400,95672,2516498406,5522.12
2025-10-01,26631.3,26385,26915,26372,26590,139342,3716828215,5558.01
2025-10-02,26717.38,26635,26910,26330,26690,167949,4483818113,5575.78
2025-10-10,26086.57,26660,26660,25790,26090,194365,5078105419,5444.3
2025-10-13,25599.19,25880,26070,25510,25545,99906,2569458737,5342.18
2025-10-14,24259.47,25575,25790,23895,24280,264299,6489865067,5062.47
2025-10-15,25070.61,24425,25115,24425,25020,120166,2986943517,5232.03
2025-10-16,25253.36,25300,25675,25080,25185,274050,6909970255,5270.22
2025-10-17,24723.85,25380,25465,24660,24780,155440,3895711350,5160.04
2025-10-20,25621.19,25000,25610,25000,25565,129237,3291278719,5347.33
2025-10-21,26299.37,25850,26330,25805,26300,257991,6745758445,5489.2
2025-10-22,27447.59,26590,27400,26020,27385,267681,7155311428,5729.13
2025-10-23,27757.06,27225,28120,27000,27645,391892,10852617779,5793.88
2025-10-24,27767.2,27645,27870,27205,27760,170919,4731400851,5795.8
